letter,startPosition,endPosition,timing,direction,blueMotionType,blueRotationDirection,blueStartLocation,blueEndLocation,redMotionType,redRotationDirection,redStartLocation,redEndLocation
Z,gamma13,beta7,none,none,static,noRotation,w,w,anti,ccw,s,w
Z,gamma15,beta1,none,none,static,noRotation,n,n,anti,ccw,w,n
Z,gamma9,beta3,none,none,static,noRotation,e,e,anti,ccw,n,e
Z,gamma7,beta5,none,none,static,noRotation,s,s,anti,cw,w,s
Z,gamma1,beta7,none,none,static,noRotation,w,w,anti,cw,n,w
Z,gamma5,beta3,none,none,static,noRotation,e,e,anti,cw,s,e
Z,gamma3,beta1,none,none,static,noRotation,n,n,anti,cw,e,n

Z,gamma5,beta5,none,none,anti,ccw,e,s,static,noRotation,s,s
Z,gamma7,beta7,none,none,anti,ccw,s,w,static,noRotation,w,w
Z,gamma1,beta1,none,none,anti,ccw,w,n,static,noRotation,n,n
Z,gamma3,beta3,none,none,anti,ccw,n,e,static,noRotation,e,e
Z,gamma13,beta5,none,none,anti,cw,w,s,static,noRotation,s,s
Z,gamma15,beta7,none,none,anti,cw,n,w,static,noRotation,w,w
Z,gamma11,beta3,none,none,anti,cw,s,e,static,noRotation,e,e
Z,gamma9,beta1,none,none,anti,cw,e,n,static,noRotation,n,n

Σ,alpha3,gamma13,none,none,static,noRotation,w,w,pro,cw,e,s
Σ,alpha5,gamma15,none,none,static,noRotation,n,n,pro,cw,s,w
Σ,alpha7,gamma9,none,none,static,noRotation,e,e,pro,cw,w,n
Σ,alpha1,gamma11,none,none,static,noRotation,s,s,pro,cw,n,e
Σ,alpha7,gamma5,none,none,static,noRotation,e,e,pro,ccw,w,s
Σ,alpha1,gamma7,none,none,static,noRotation,s,s,pro,ccw,n,w
Σ,alpha5,gamma3,none,none,static,noRotation,n,n,pro,ccw,s,e
Σ,alpha3,gamma1,none,none,static,noRotation,w,w,pro,ccw,e,n

Σ,alpha7,gamma7,none,none,pro,cw,e,s,static,noRotation,w,w
Σ,alpha1,gamma1,none,none,pro,cw,s,w,static,noRotation,n,n
Σ,alpha3,gamma3,none,none,pro,cw,w,n,static,noRotation,e,e
Σ,alpha5,gamma5,none,none,pro,cw,n,e,static,noRotation,s,s
Σ,alpha3,gamma11,none,none,pro,ccw,w,s,static,noRotation,e,e
Σ,alpha5,gamma13,none,none,pro,ccw,n,w,static,noRotation,s,s
Σ,alpha1,gamma9,none,none,pro,ccw,s,e,static,noRotation,n,n
Σ,alpha7,gamma15,none,none,pro,ccw,e,n,static,noRotation,w,w

Δ,alpha3,gamma13,none,none,static,noRotation,w,w,anti,ccw,e,s
Δ,alpha5,gamma15,none,none,static,noRotation,n,n,anti,ccw,s,w
Δ,alpha7,gamma9,none,none,static,noRotation,e,e,anti,ccw,w,n
Δ,alpha1,gamma11,none,none,static,noRotation,s,s,anti,ccw,n,e
Δ,alpha7,gamma5,none,none,static,noRotation,e,e,anti,cw,w,s
Δ,alpha1,gamma7,none,none,static,noRotation,s,s,anti,cw,n,w
Δ,alpha5,gamma3,none,none,static,noRotation,n,n,anti,cw,s,e
Δ,alpha3,gamma1,none,none,static,noRotation,w,w,anti,cw,e,n

Δ,alpha7,gamma7,none,none,anti,ccw,e,s,static,noRotation,w,w
Δ,alpha1,gamma1,none,none,anti,ccw,s,w,static,noRotation,n,n
Δ,alpha3,gamma3,none,none,anti,ccw,w,n,static,noRotation,e,e
Δ,alpha5,gamma5,none,none,anti,ccw,n,e,static,noRotation,s,s
Δ,alpha3,gamma11,none,none,anti,cw,w,s,static,noRotation,e,e
Δ,alpha5,gamma13,none,none,anti,cw,n,w,static,noRotation,s,s
Δ,alpha1,gamma9,none,none,anti,cw,s,e,static,noRotation,n,n
Δ,alpha7,gamma15,none,none,anti,cw,e,n,static,noRotation,w,w

θ,beta3,gamma5,none,none,static,noRotation,e,e,pro,cw,e,s
θ,beta5,gamma7,none,none,static,noRotation,s,s,pro,cw,s,w
θ,beta7,gamma1,none,none,static,noRotation,w,w,pro,cw,w,n
θ,beta1,gamma3,none,none,static,noRotation,n,n,pro,cw,n,e
