Organized by total time:

     Calls      Total Time        Per Call      Cumulative Time       Per Call (Cum)                       Function
         2        0.000014        0.000007             0.008948             0.004474 resizeEvent                    sequence_workbench\sequence_workbench.py:90
         3        0.000014        0.000005             0.001884             0.000628 update_display                 turns_adjustment_manager\turns_presenter.py:19
         2        0.000013        0.000007             0.000707             0.000354 __init__                       grid\non_radial_points_group.py:14
         1        0.000013        0.000013             0.000886             0.000886 resizeEvent                    navigation_widget\menu_bar_nav_widget.py:131
         1        0.000013        0.000013             0.000087             0.000087 has_rotation_angle_override    calculators\base_rot_angle_calculator.py:37
         2        0.000013        0.000006             0.000660             0.000330 update_arrow                   arrow\arrow_updater.py:13
         1        0.000013        0.000013             0.000024             0.000024 scale_and_position_glyphs      start_to_end_pos_glyph\start_to_end_pos_glyph.py:75
         1        0.000013        0.000013             0.000695             0.000695 update_motions                 updater\motion_data_updater.py:35
        27        0.000013        0.000000             0.000033             0.000003 <genexpr>                      updater\motion_data_updater.py:195
         2        0.000012        0.000006             0.000040             0.000020 generate_key                   strategies\placement_key_generator.py:56
         5        0.000012        0.000002             0.000145             0.000029 generate_turns_tuple           turns_tuple_generator\turns_tuple_generator.py:67
         1        0.000012        0.000012             0.000066             0.000066 set_vtg_mode                   vtg_glyph\vtg_glyph.py:55
         2        0.000012        0.000006             0.000012             0.000006 __eq__                         turns_adjustment_manager\turns_value.py:38
         3        0.000012        0.000004             0.000019             0.000006 get_letter_type                letter\letter_type.py:52
         3        0.000012        0.000004             0.000247             0.000082 _current_beat                  turns_adjustment_manager\turns_adjustment_manager.py:295
         2        0.000012        0.000006             0.000454             0.000227 update_prop_image              svg_manager\prop_svg_manager.py:17
         2        0.000012        0.000006             0.000017             0.000009 setup_components               arrow\arrow.py:31
         2        0.000012        0.000006             0.000224             0.000112 _determine_motion_type         turns_adjustment_manager\turns_adjustment_manager.py:275
         1        0.000011        0.000011             0.000237             0.000237 resizeEvent                    start_pos_picker\choose_your_start_pos_label.py:24
         4        0.000011        0.000003             0.000461             0.000115 load_svg_file                  svg_manager\svg_manager.py:19
         4        0.000011        0.000003             0.000017             0.000004 parse_turns_tuple_string       tka_glyph\turns_parser.py:5
         3        0.000011        0.000004             0.000257             0.000086 _current_motion                turns_adjustment_manager\turns_adjustment_manager.py:259
         1        0.000010        0.000010             0.000011             0.000011 resizeEvent                    start_pos_picker\start_pos_pictograph_frame.py:25
         4        0.000010        0.000003             0.000015             0.000004 settings_manager               core\application_context.py:34
         2        0.000010        0.000005             0.000058             0.000029 set_prop_to_default_loc        handlers\default_prop_positioner.py:23
         2        0.000010        0.000005             0.000018             0.000009 update_motion_state            motion\motion_state.py:25
         2        0.000010        0.000005             0.000056             0.000028 fades_enabled                  fade_manager\fade_manager.py:30
         2        0.000010        0.000005             0.000599             0.000299 update_motion                  motion\motion_updater.py:12
         2        0.000009        0.000005             0.000440             0.000220 update_arrow_svg               arrow\arrow_svg_manager.py:15
         3        0.000009        0.000003             0.000015             0.000015 _tuple_to_dict                 updater\motion_data_updater.py:201
         6        0.000009        0.000001             0.000013             0.000002 has_all_props_of_type          managers\pictograph_checker.py:197
         2        0.000009        0.000004             0.000025             0.000013 update_location                location_manager\arrow_location_manager.py:29
